question,chunking,retrieval_variant,answer,n_claims,supported_claims,faithfulness_score,avg_relevancy_score,retrieval_time_sec,inference_time_sec,overall_time_sec
What is Chelsea FC known for in club football?,semantic,hybrid_plus_rerank,"Chelsea FC is known for being associated with football hooliganism, particularly during the 1970s and 1980s, with notorious groups such as the Chelsea Shed Boys and the Chelsea Headhunters.",3,2,0.6666666666666666,0.6625304818153381,0.8065756330001932,6.409559183000056,7.216145243000028
How many UEFA Champions League titles has Real Madrid won?,fixed,semantic_only,Real Madrid has won a record 15 UEFA Champions League titles.,2,2,1.0,0.8902600606282552,0.08297496400018645,7.210880051000004,7.293862418000117
How many UEFA Champions League titles has Real Madrid won?,fixed,hybrid_plus_rerank,Real Madrid has won a record 15 UEFA Champions League titles.,2,2,1.0,0.8902600606282552,0.7761057100001381,6.241579305999949,7.017696357000204
How many UEFA Champions League titles has Real Madrid won?,recursive,semantic_only,Real Madrid has won 15 UEFA Champions League titles.,1,1,1.0,0.9745404918988546,0.05168091800032926,6.331609455000034,6.383300138999857
How many UEFA Champions League titles has Real Madrid won?,recursive,hybrid_plus_rerank,Real Madrid has won a record 15 European Cup/UEFA Champions League titles.,1,1,1.0,0.8429532845815023,0.7545085289998497,4.133896203999939,4.888413715000297
How many UEFA Champions League titles has Real Madrid won?,semantic,semantic_only,Real Madrid has won a record 15 European Cup/UEFA Champions League titles.,1,1,1.0,0.8429532845815023,0.04565607199992883,5.37779002499974,5.423454350000156
How many UEFA Champions League titles has Real Madrid won?,semantic,hybrid_plus_rerank,Real Madrid has won 15 UEFA Champions League titles.,1,1,1.0,0.9745404918988546,0.8428696550004133,5.162939012999686,6.005819669000175
What type of tournament is FA Cup?,fixed,semantic_only,The FA Cup is an annual knockout football competition.,3,3,1.0,0.8950657645861307,0.05668228700005784,5.158920054000191,5.215609820000282
What type of tournament is FA Cup?,fixed,hybrid_plus_rerank,The FA Cup is a knockout tournament.,1,1,1.0,0.8923907081286112,0.766919802999837,4.501712199999929,5.268644059000053
What type of tournament is FA Cup?,recursive,semantic_only,The FA Cup is an annual knockout football competition.,3,3,1.0,0.8950657645861307,0.05005495500017787,5.173931509999875,5.223994972000128
What type of tournament is FA Cup?,recursive,hybrid_plus_rerank,The FA Cup is a knockout tournament.,1,1,1.0,0.8923907081286112,0.7663679549996232,4.133488110000144,4.899866130999726
What type of tournament is FA Cup?,semantic,semantic_only,The FA Cup is a knockout tournament.,1,1,1.0,0.8923907081286112,0.052421321000110765,5.160816207000153,5.213246460999926
What type of tournament is FA Cup?,semantic,hybrid_plus_rerank,The FA Cup is an annual knockout football competition.,3,3,1.0,0.8950657645861307,0.765105611999843,6.169365689000188,6.934481773000243
Which club has more Champions League titles — AC Milan or Liverpool?,fixed,semantic_only,AC Milan has won seven Champions League titles.,1,1,1.0,0.8374469876289368,0.05016114399995786,6.2967867639999895,6.346973051000077
Which club has more Champions League titles — AC Milan or Liverpool?,fixed,hybrid_plus_rerank,AC Milan has more Champions League titles than Liverpool.,1,0,0.0,0.9534133076667786,0.8008696580000105,4.113954444999763,4.914833326999997
Which club has more Champions League titles — AC Milan or Liverpool?,recursive,semantic_only,AC Milan has won seven Champions League titles.,1,1,1.0,0.8374469876289368,0.04697026399981041,5.1844239500001095,5.23140252300027
Which club has more Champions League titles — AC Milan or Liverpool?,recursive,hybrid_plus_rerank,AC Milan has more Champions League titles than Liverpool.,1,0,0.0,0.9534133076667786,0.7616555730000982,4.150903104999998,4.912568959000055
Which club has more Champions League titles — AC Milan or Liverpool?,semantic,semantic_only,AC Milan has won seven European Cup/Champions League titles.,1,1,1.0,0.7941528161366781,0.050144056000135606,5.182143234999785,5.232295809000334
Which club has more Champions League titles — AC Milan or Liverpool?,semantic,hybrid_plus_rerank,"AC Milan has seven European Cup/Champions League titles, while Liverpool has six.",2,0,0.0,0.913837730884552,0.8440401739999288,5.19744358600019,6.041493248999814
