question,expected_abstain,question_type,answer_bm25_semantic,stale_warning_bm25_semantic,ret_time_bm25_semantic,inf_time_bm25_semantic,total_time_bm25_semantic,abstain_correct_bm25_semantic,answer_hybrid_fixed,stale_warning_hybrid_fixed,ret_time_hybrid_fixed,inf_time_hybrid_fixed,total_time_hybrid_fixed,abstain_correct_hybrid_fixed
"In international football, what country is Argentina national football team associated with?",False,country-team,Argentina national football team is associated with Argentina.,False,0.050444987999981095,8.179116787999988,8.229561775999969,True,Argentina national football team is associated with Argentina.,False,0.8150801279999769,2.154667377999999,2.969747505999976,True
How is 2022 FIFA World Cup categorized in football?,False,competition,The 2022 FIFA World Cup is categorized in football as the 22nd quadrennial world championship for national football teams organised by FIFA.,False,0.049431740000045465,6.276038920000019,6.3254706600000645,True,The 2022 FIFA World Cup is categorized in football as the 22nd quadrennial world championship for national football teams organised by FIFA.,False,0.7755447199999708,5.263238204000004,6.038782923999975,True
What formation did Spain predominantly use when winning UEFA Euro 2008?,True,country-team,I don't know.,False,0.051035285000011754,5.26955994900004,5.320595234000052,True,I don't know.,False,0.8404887180000742,5.2124483399999235,6.052937057999998,True
"In football, how would you describe AC Milan?",False,club,"AC Milan is an Italian professional football club based in Milan, Lombardy.",False,0.052484240000012505,5.299092029999997,5.35157627000001,True,"AC Milan is an Italian professional football club based in Milan, Lombardy.",False,0.8416232089999767,4.136545503999969,4.9781687129999455,True
Who was the referee for the 2029 Copa Libertadores final?,True,unanswerable,I don't know.,False,0.054184222999992926,6.312737040999991,6.366921263999984,True,I don't know.,False,0.7675641480000195,6.230362007000053,6.997926155000073,True
How is FIFA World Cup categorized in football?,False,competition,The FIFA World Cup is categorized in football as a professional international association football competition among the senior men's national teams of the members of the Fédération Internationale de Football Association (FIFA).,False,0.0516640970000708,3.169338262999986,3.221002360000057,True,The FIFA World Cup is categorized in football as the most prestigious international soccer tournament.,False,0.7797566189999543,4.471670458999938,5.251427077999892,True
How is Bundesliga categorized in football?,False,competition,The Bundesliga is categorized as the highest level of the German football league system.,False,0.048613394000085464,4.162453996999943,4.211067391000029,True,The Bundesliga is categorized as a professional association football league in Germany and the highest level of the German football league system.,False,0.7661937999999964,5.184356440999977,5.9505502409999735,True
"In international football, what country is Germany national football team associated with?",False,country-team,Germany is the country associated with the Germany national football team.,False,0.05067678700004308,6.226875426999982,6.277552214000025,True,Germany national football team is associated with Germany.,False,0.8246524310000041,3.127201538999998,3.951853970000002,True
How is 2014 FIFA World Cup categorized in football?,False,competition,The 2014 FIFA World Cup is categorized in football as a professional international association football competition among the senior men's national teams of the members of the Fédération Internationale de Football Association (FIFA).,False,0.05055606299993087,6.67854026100008,6.729096324000011,True,The 2014 FIFA World Cup is categorized in football as the 20th quadrennial world championship for men's national football teams organised by FIFA.,False,0.7699604479998925,4.16370897999991,4.933669427999803,True
Who scored the fastest goal in the FIFA World Cup 2030?,True,unanswerable,I don't know.,False,0.050560727000174666,6.235595203000003,6.286155930000177,True,I don't know.,False,0.8357742360001339,3.182483044000037,4.018257280000171,True
What is AFC Ajax known for in club football?,False,club,"AFC Ajax is known for being the most successful club in the Netherlands, with 36 Eredivisie titles and 20 KNVB Cups, both records.",True,0.050885370999822044,5.183918901999959,5.2348042729997815,True,"AFC Ajax is known for being the most successful club in the Netherlands, with 36 Eredivisie titles and 20 KNVB Cups, both records.",True,0.8675683960000242,4.170021954999811,5.037590350999835,True
Which club did Zinedine Zidane win the Champions League with as a player?,True,person,Zinedine Zidane won the Champions League with Real Madrid as a player.,False,0.05165361500007748,5.192674732999876,5.244328347999954,False,Zinedine Zidane won the Champions League with Real Madrid as a player.,False,0.9087914300000648,5.190023086999872,6.098814516999937,False
Brazil national football team represents which nation?,False,country-team,Brazil national football team represents Brazil.,False,0.053872796999939965,5.302784684000017,5.3566574809999565,True,Brazil national football team represents Brazil.,False,0.7637176950001958,4.213983880999876,4.977701576000072,True
Croatia national football team represents which nation?,False,country-team,The Croatia national football team represents Croatia.,False,0.05080676200009293,5.185002602000168,5.235809364000261,True,The Croatia national football team represents Croatia.,False,0.7584724660000575,6.311357107000049,7.069829573000106,True
How is EFL Cup categorized in football?,False,competition,The EFL Cup is categorized as an annual knockout competition in men's domestic football in England.,False,0.05417749299999741,5.171179701000028,5.225357194000026,True,The EFL Cup is an annual knockout competition in men's domestic football in England.,False,0.7587985810000646,4.278706023000041,5.037504604000105,True
What is FC Bayern Munich known for in club football?,False,club,"FC Bayern Munich is known for being the most successful club in German football and among the world's most decorated, having won a record 34 national titles and a record 20 national cups, the DFB-Pokal, alongside numerous European titles.",True,0.05101513599993268,5.220663129000059,5.271678264999991,True,"FC Bayern Munich is known for being the most successful club in German football and among the world's most decorated, having won a record 34 national titles and a record 20 national cups.",True,0.8594400730000871,5.218802086000096,6.078242159000183,True
What is Borussia Dortmund known for in club football?,False,club,"Borussia Dortmund is known for its long-standing rivalry with Ruhr neighbours Schalke 04, against whom they contest the Revierderby.",True,0.05068633000018963,6.377784462999898,6.428470793000088,True,"Borussia Dortmund is known for its men's professional football team, which plays in the Bundesliga, the top tier of the German football league system.",True,0.7689975789999153,5.491149156999882,6.260146735999797,True
Which footballer announced retirement in January 2027?,True,unanswerable,I don't know.,True,0.05205753299992466,6.302721842999972,6.354779375999897,True,I don't know.,True,0.858691891000035,4.433360212000025,5.29205210300006,True
Give a brief overview of Copa America in football.,False,general,The Copa America is the top men's quadrennial football tournament contested among national teams from South America.,False,0.050465095999925325,5.238758381000025,5.28922347699995,True,The Copa America is the top men's quadrennial football tournament contested among national teams from South America.,False,0.8782726869999351,5.194776620000084,6.073049307000019,True
Who won the UEFA Euro 2024 Golden Boot?,True,unanswerable,I don't know.,False,0.050638481999840224,4.116887955000038,4.167526436999879,True,I don't know.,False,1.0522782670000197,7.1999829830001545,8.252261250000174,True
What distinguishes the Copa Libertadores from the Copa America?,True,competition,"The Copa Libertadores distinguishes itself from the Copa America in that it is an annual continental club football competition, whereas the Copa America is a quadrennial tournament contested among national teams.",False,0.11794515399992633,6.272113603999969,6.3900587579998955,False,"The Copa Libertadores is distinguished from the Copa America in that it is a continental club football competition, whereas the Copa America is a continental national team football competition.",False,0.8951828100000512,5.368752749999885,6.263935559999936,False
